WL FLUX ERROR
1100.36 0.0 99.0
1100.9 0.0 99.0
1101.44 0.0 99.0
1101.98 0.0 99.0
1102.52 0.0 99.0
1103.06 0.0 99.0
1103.6 0.0 99.0
1104.15 0.0 99.0
1104.69 0.0 99.0
1105.23 0.0 99.0
1105.77 0.0 99.0
1106.31 0.0 99.0
1106.85 0.0 99.0
1107.4 0.0 99.0
1107.94 0.0 99.0
1108.48 0.0 99.0
1109.03 0.0 99.0
1109.57 0.0 99.0
1110.11 0.0 99.0
1110.66 0.0 99.0
1111.2 0.0 99.0
1111.75 0.0 99.0
1112.29 0.0 99.0
1112.84 0.0 99.0
1113.39 0.0 99.0
1113.93 0.0 99.0
1114.48 0.0 99.0
1115.02 0.0 99.0
1115.57 0.0 99.0
1116.12 0.0 99.0
1116.67 0.0 99.0
1117.21 0.0 99.0
1117.76 0.0 99.0
1118.31 0.0 99.0
1118.86 0.0 99.0
1119.41 0.0 99.0
1119.95 0.0 99.0
1120.5 0.0 99.0
1121.05 0.0 99.0
1121.6 0.0 99.0
1122.15 0.0 99.0
1122.7 0.0 99.0
1123.25 0.0 99.0
1123.8 0.0 99.0
1124.36 0.0 99.0
1124.91 0.0 99.0
1125.46 0.0 99.0
1126.01 0.0 99.0
1126.56 0.0 99.0
1127.11 0.0 99.0
1127.67 0.0 99.0
1128.22 0.0 99.0
1128.77 0.0 99.0
1129.33 0.0 99.0
1129.88 0.0 99.0
1130.44 3.299579870586998e-15 7.565802279368606e-16
1130.99 4.839617927049401e-15 8.084659822191885e-16
1131.54 2.5195096598118183e-15 7.913693830414916e-16
1132.1 2.083111796848294e-15 7.705799248502812e-16
1132.65 2.544330515992435e-15 7.216991760244726e-16
1133.21 3.564088820581237e-15 5.606855543133961e-16
1133.77 2.866954007538743e-15 5.231139606699464e-16
1134.32 3.4198381138657055e-15 5.01847803733495e-16
1134.88 3.2248110726040127e-15 4.381366927797965e-16
1135.43 3.435730064122211e-15 4.56815883631135e-16
1135.99 3.759323153252219e-15 4.651569378585169e-16
1136.55 3.485014128118572e-15 4.411978836266008e-16
1137.1 3.3720483890421063e-15 4.471634407254563e-16
1137.66 4.1416616188842825e-15 4.421952597133197e-16
1138.22 4.644235057826307e-15 4.11971214318205e-16
1138.78 2.191733143631575e-15 3.450274020303542e-16
1139.34 3.0609244006125983e-15 3.4764196926793324e-16
1139.9 3.463913623023064e-15 3.552864457284763e-16
1140.45 3.3946211327538907e-15 3.489656173060886e-16
1141.01 3.841780885193221e-15 3.3792394682771085e-16
1141.57 2.556799281290287e-15 3.1613618308285485e-16
1142.13 2.4054512914279024e-15 3.294731195099231e-16
1142.69 1.8301848271871804e-15 3.1199671961680346e-16
1143.25 2.039709668394412e-15 2.9710708094840023e-16
1143.81 2.792580920501598e-15 3.1101434176002235e-16
1144.38 2.2015813743054063e-15 2.9787550418057087e-16
1144.94 2.1780300821186177e-15 2.9736904824949454e-16
1145.5 3.3622473480458817e-15 3.208068279173558e-16
1146.06 4.226022780850961e-15 3.454716561757778e-16
1146.62 4.626411508236523e-15 3.4326681029130167e-16
1147.18 3.840075145699844e-15 3.3684168113707817e-16
1147.75 4.034419796591649e-15 3.346450031225144e-16
1148.31 4.035874294988185e-15 3.376348800626463e-16
1148.87 4.088491154975939e-15 3.424533090990615e-16
1149.44 4.449430316636781e-15 3.356110624662083e-16
1150.0 4.739398886193858e-15 3.3535655754578526e-16
1150.3 4.978128196879261e-15 3.2959546464918424e-16
1150.6 4.296995848209405e-15 3.230081864099696e-16
1150.89 3.352885662837553e-15 3.137425110988249e-16
1151.19 4.28390965828399e-15 3.1575580448016383e-16
1151.49 4.904279404620918e-15 3.2564777461888003e-16
1151.79 4.660825085380241e-15 3.2387195602929207e-16
1152.09 3.307765771113134e-15 3.150257382197484e-16
1152.39 3.3415972486221643e-15 3.052821345225592e-16
1152.69 3.949253195306989e-15 3.1137176854886497e-16
1152.98 4.009385205337846e-15 3.151737405450962e-16
1153.28 3.571497056040881e-15 3.039339548359982e-16
1153.58 3.4835428086752924e-15 2.9765438180017316e-16
1153.88 3.2338737191499704e-15 2.963499809141532e-16
1154.18 4.096131756069348e-15 3.032082238930144e-16
1154.48 3.696645215589581e-15 3.0373382037215338e-16
1154.78 3.619084858981668e-15 2.983928200317682e-16
1155.08 3.391028554391956e-15 2.9681988267884446e-16
1155.38 3.3440796455514234e-15 2.951317280792633e-16
1155.68 4.4299646449307844e-15 2.9828503405910693e-16
1155.98 4.078219820071485e-15 3.0179164868694523e-16
1156.28 3.1647497844119062e-15 2.968683434278362e-16
1156.57 3.3791837007237597e-15 2.969978490523165e-16
1156.88 4.678388492489138e-15 3.050829630237586e-16
1157.18 4.329132741119783e-15 3.032349174591654e-16
1157.47 3.6981939063850515e-15 2.9399668176332185e-16
1157.78 3.1062207395775714e-15 2.8909996291105664e-16
1158.07 3.4892897262256946e-15 2.9190641864208565e-16
1158.38 3.4615552077300558e-15 3.0350418533767974e-16
1158.68 4.667428164848905e-15 3.0725246910577416e-16
1158.97 3.2284343620929484e-15 2.9574921062701965e-16
1159.28 3.812605607843478e-15 2.915344587074568e-16
1159.58 4.239414191471156e-15 2.895611144547918e-16
1159.88 3.2655558620409616e-15 2.890484860203821e-16
1160.18 3.4604031398513875e-15 2.899276242919341e-16
1160.48 3.9123773482552215e-15 2.9291706944088075e-16
1160.78 3.7113386395209985e-15 2.959855602779435e-16
1161.08 4.035264492058119e-15 2.922300180171808e-16
1161.38 2.991716829704794e-15 2.7975162344314767e-16
1161.68 2.696564064442563e-15 2.767049716683175e-16
1161.98 3.2362066513370005e-15 2.841197551656541e-16
1162.28 3.744502794868589e-15 2.85474898878844e-16
1162.58 3.5503807952782125e-15 2.892749064354039e-16
1162.89 3.252434028866437e-15 2.9230477224212084e-16
1163.19 4.44498240304153e-15 2.932592650880403e-16
1163.49 4.611049748480921e-15 2.9594413749316894e-16
1163.79 4.466292768544257e-15 2.9836591100054744e-16
1164.09 4.494728273697305e-15 3.019098133628441e-16
1164.39 3.895936997416552e-15 2.9885063445666387e-16
1164.7 4.394328313546575e-15 2.941507013955789e-16
1165.0 4.2485645692527986e-15 2.9208652287273724e-16
1165.3 4.2047133078649265e-15 2.90761683897809e-16
1165.6 4.581385756332195e-15 2.863062644889621e-16
1165.9 2.917938188596771e-15 2.7560270334977964e-16
1166.21 3.749716988698727e-15 2.7657512060324414e-16
1166.51 3.692337829674306e-15 2.796844693818443e-16
1166.81 3.730229678836241e-15 2.7793497239104027e-16
1167.11 3.613216390414999e-15 2.727181278026467e-16
1167.42 2.297738697938883e-15 2.7002673155565887e-16
1167.72 3.75236801353031e-15 2.7274799630319443e-16
1168.02 3.8570390168733816e-15 2.7401833250486177e-16
1168.32 3.3762301624483553e-15 2.761114958965465e-16
1168.63 3.063391574467977e-15 2.726804329374625e-16
1168.93 3.0791917261126417e-15 2.6835159811060444e-16
1169.23 3.563155791051068e-15 2.6857398833825924e-16
1169.54 3.4643916420137027e-15 2.739648851331592e-16
1169.84 3.438492578744006e-15 2.690590563454522e-16
1170.14 3.70655864732684e-15 2.6872885234856374e-16
1170.44 3.816706816805811e-15 2.674341512141129e-16
1170.75 2.5966668303566987e-15 2.6008739024107784e-16
1171.05 3.4048729175292308e-15 2.623649679734031e-16
1171.35 3.2373726660448122e-15 2.662579191569868e-16
1171.66 2.6688490576434864e-15 2.6337907203197077e-16
1171.96 3.1619231027579667e-15 2.5987450199342538e-16
1172.27 2.662968255086204e-15 2.55662023581853e-16
1172.57 2.2656713714625944e-15 2.525361106312977e-16
1172.87 2.267988421725658e-15 2.532643981018293e-16
1173.18 1.986481133999883e-15 2.478451006869576e-16
1173.48 2.600309642251984e-15 2.4873335543679286e-16
1173.79 1.6795810141132848e-15 2.450885312688381e-16
1174.09 1.8341233738122844e-15 2.3705704813435006e-16
1174.4 1.2522367660850374e-15 2.318427799840726e-16
1174.7 1.072815663235747e-15 2.277817428841223e-16
1175.0 7.695574690286801e-16 2.221886555861789e-16
1175.31 5.903969065642461e-16 2.192143719484867e-16
1175.61 8.669166413891669e-16 2.2168904010182265e-16
1175.92 9.432839278206082e-16 2.3028056568743904e-16
1176.22 1.490066391533448e-15 2.3985180393955086e-16
1176.53 1.74266446114736e-15 2.447345467812302e-16
1176.83 2.0306006100448607e-15 2.5367291598017506e-16
1177.14 2.4886759793649524e-15 2.6121282849117355e-16
1177.44 3.673683432884767e-15 2.691760290009272e-16
1177.75 3.568676288264371e-15 2.750601892244809e-16
1178.05 3.724468505815134e-15 2.7736629995097115e-16
1178.36 3.1786376786129403e-15 2.798416152434037e-16
1178.66 3.567407589048481e-15 2.792551122272117e-16
1178.97 3.2120589652402856e-15 2.759126283092382e-16
1179.27 3.599537580056043e-15 2.761458647498933e-16
1179.58 4.103969012580066e-15 2.790743376097015e-16
1179.89 3.823394243747266e-15 2.782747655077274e-16
1180.19 3.808605968889696e-15 2.7773568995244923e-16
1180.5 3.796394297698159e-15 2.7774830121468564e-16
